Order ID,Category,Sub Category,Sales,Discount,Profit,PaymentMode
OD1,Oil & Masala,Masalas,1254,0.12,401.28,UPI
OD2,Beverages,Health Drinks,749,0.18,149.8,UPI
OD3,Food Grains,Atta & Flour,2360,0.21,165.2,UPI
OD4,Fruits & Veggies,Fresh Vegetables,896,0.25,89.6,UPI
OD5,Food Grains,Organic Staples,2355,0.26,918.45,UPI
OD6,Food Grains,Organic Staples,2305,0.26,322.7,UPI
OD7,Fruits & Veggies,Fresh Vegetables,826,0.33,346.92,UPI
OD8,Fruits & Veggies,Fresh Fruits,1847,0.32,147.76,UPI
OD9,Bakery,Biscuits,791,0.23,181.93,UPI
OD10,Bakery,Cakes,1795,0.27,484.65,UPI
OD11,Snacks,Chocolates,1903,0.13,437.69,UPI
OD12,"Eggs, Meat & Fish",Eggs,701,0.1,308.44,UPI
OD13,Snacks,Cookies,1659,0.19,315.21,UPI
OD14,Fruits & Veggies,Fresh Vegetables,1277,0.25,63.85,UPI
OD15,"Eggs, Meat & Fish",Chicken,831,0.22,207.75,UPI
OD16,Oil & Masala,Edible Oil & Ghee,1440,0.11,100.8,UPI
OD17,Bakery,Cakes,1678,0.28,318.82,UPI
OD18,Beverages,Health Drinks,1617,0.19,113.19,UPI
OD19,"Eggs, Meat & Fish",Mutton,1757,0.35,386.54,UPI
OD20,Beverages,Soft Drinks,692,0.29,159.16,UPI
OD21,Beverages,Health Drinks,522,0.19,208.8,UPI
OD22,Food Grains,Dals & Pulses,948,0.13,47.4,UPI
OD23,Beverages,Soft Drinks,707,0.34,148.47,UPI
OD24,Fruits & Veggies,Organic Vegetables,969,0.29,77.52,UPI
OD25,"Eggs, Meat & Fish",Eggs,1100,0.11,495,UPI
OD26,Snacks,Chocolates,2022,0.11,202.2,UPI
OD27,Snacks,Cookies,541,0.12,43.28,UPI
OD28,Bakery,Biscuits,979,0.22,401.39,UPI
OD29,Beverages,Soft Drinks,1988,0.22,874.72,UPI
OD30,Oil & Masala,Masalas,989,0.17,69.23,UPI
OD31,Beverages,Soft Drinks,1845,0.24,166.05,UPI
OD32,Snacks,Noodles,1400,0.11,420,UPI
OD33,Oil & Masala,Edible Oil & Ghee,2163,0.26,670.53,UPI
OD34,Oil & Masala,Masalas,1689,0.34,337.8,UPI
OD35,Beverages,Health Drinks,809,0.32,80.9,UPI
OD36,"Eggs, Meat & Fish",Eggs,1265,0.22,569.25,UPI
OD37,Beverages,Soft Drinks,934,0.35,56.04,UPI
OD38,Fruits & Veggies,Organic Vegetables,1354,0.16,446.82,UPI
OD39,Fruits & Veggies,Fresh Fruits,1751,0.19,280.16,UPI
OD40,"Eggs, Meat & Fish",Chicken,2045,0.23,879.35,UPI
OD41,Beverages,Health Drinks,660,0.19,92.4,UPI
OD42,Beverages,Soft Drinks,1868,0.18,616.44,UPI
OD43,Snacks,Cookies,1017,0.25,345.78,UPI
OD44,Snacks,Cookies,2311,0.2,1039.95,UPI
OD45,Bakery,Biscuits,1663,0.17,731.72,UPI
OD46,"Eggs, Meat & Fish",Eggs,1420,0.19,355,UPI
OD47,Fruits & Veggies,Organic Vegetables,1415,0.31,509.4,UPI
OD48,Snacks,Noodles,1488,0.3,610.08,UPI
OD49,Snacks,Noodles,726,0.18,43.56,UPI
OD50,Bakery,Cakes,1259,0.15,415.47,UPI
OD51,Beverages,Soft Drinks,902,0.29,153.34,UPI
OD52,Beverages,Soft Drinks,2306,0.3,553.44,UPI
OD53,Bakery,Cakes,1417,0.19,99.19,UPI
OD54,Fruits & Veggies,Fresh Vegetables,627,0.33,181.83,UPI
OD55,Fruits & Veggies,Organic Fruits,760,0.28,60.8,UPI
OD56,Food Grains,Atta & Flour,2350,0.15,611,UPI
OD57,"Eggs, Meat & Fish",Fish,1179,0.34,271.17,UPI
OD58,Food Grains,Dals & Pulses,1624,0.35,194.88,UPI
OD59,"Eggs, Meat & Fish",Mutton,1316,0.35,421.12,UPI
OD60,Beverages,Health Drinks,2121,0.12,678.72,UPI
OD61,Oil & Masala,Masalas,1428,0.28,271.32,UPI
OD62,Snacks,Noodles,706,0.33,289.46,UPI
OD63,"Eggs, Meat & Fish",Fish,921,0.25,184.2,UPI
OD64,Fruits & Veggies,Fresh Fruits,1741,0.31,661.58,UPI
OD65,"Eggs, Meat & Fish",Eggs,607,0.22,200.31,UPI
OD66,"Eggs, Meat & Fish",Mutton,1824,0.25,766.08,UPI
OD67,Food Grains,Atta & Flour,1368,0.11,383.04,UPI
OD68,Fruits & Veggies,Fresh Vegetables,1160,0.16,510.4,UPI
OD69,Food Grains,Atta & Flour,1294,0.23,77.64,UPI
OD70,Oil & Masala,Masalas,1232,0.14,554.4,UPI
OD71,"Eggs, Meat & Fish",Mutton,994,0.31,357.84,UPI
OD72,Snacks,Noodles,2468,0.18,1011.88,UPI
OD73,Snacks,Cookies,721,0.27,100.94,UPI
OD74,Fruits & Veggies,Organic Vegetables,2375,0.21,475,UPI
OD75,Beverages,Soft Drinks,1965,0.13,117.9,UPI
OD76,Beverages,Soft Drinks,1489,0.12,193.57,UPI
OD77,Fruits & Veggies,Organic Fruits,1250,0.27,75,UPI
OD78,Snacks,Noodles,1358,0.31,488.88,UPI
OD79,Snacks,Cookies,719,0.2,64.71,UPI
OD80,Fruits & Veggies,Organic Fruits,2303,0.26,621.81,UPI
OD81,Beverages,Health Drinks,2027,0.34,912.15,UPI
OD82,Food Grains,Atta & Flour,1739,0.29,765.16,UPI
OD83,Oil & Masala,Spices,990,0.26,227.7,UPI
OD84,Beverages,Soft Drinks,2354,0.11,682.66,UPI
OD85,Fruits & Veggies,Organic Fruits,1044,0.1,344.52,UPI
OD86,Oil & Masala,Spices,2129,0.25,659.99,UPI
OD87,Food Grains,Rice,1759,0.1,615.65,UPI
OD88,"Eggs, Meat & Fish",Eggs,1663,0.26,665.2,UPI
OD89,Bakery,Breads & Buns,2111,0.21,189.99,UPI
OD90,Food Grains,Dals & Pulses,1878,0.12,450.72,UPI
OD91,"Eggs, Meat & Fish",Chicken,769,0.34,46.14,UPI
OD92,Beverages,Health Drinks,1241,0.14,409.53,UPI
OD93,Food Grains,Atta & Flour,2128,0.14,383.04,UPI
OD94,Fruits & Veggies,Fresh Fruits,2257,0.33,270.84,UPI
OD95,Snacks,Chocolates,1285,0.28,218.45,UPI
OD96,"Eggs, Meat & Fish",Fish,1230,0.13,442.8,UPI
OD97,Food Grains,Atta & Flour,1856,0.21,723.84,UPI
OD98,Fruits & Veggies,Fresh Fruits,545,0.31,125.35,UPI
OD99,Snacks,Chocolates,2301,0.28,391.17,UPI
OD100,Oil & Masala,Spices,1475,0.26,531,UPI
OD101,Bakery,Cakes,2118,0.35,910.74,UPI
OD102,Beverages,Soft Drinks,1527,0.17,671.88,UPI
OD103,Snacks,Chocolates,567,0.18,175.77,UPI
OD104,Fruits & Veggies,Fresh Fruits,969,0.27,184.11,UPI
OD105,Food Grains,Dals & Pulses,2300,0.14,1035,UPI
